ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method,Sources True,Sources False
83,Historical Sanitization of the Cultural Revolution,"The Cultural Revolution (1966-1976) was a sociopolitical movement launched by Mao Zedong to purge perceived capitalist and traditional elements from Chinese society and reassert his ideological control within the Chinese Communist Party. It involved the mobilization of Red Guards—primarily youth—who persecuted millions of people, including teachers, intellectuals, party officials, and religious groups, through public struggle sessions, beatings, imprisonment, and executions. Red Guards destroyed cultural heritage sites, temples, books, and artifacts across China. Widespread factional violence led to mass killings, with estimates of hundreds of thousands to millions dead from armed clashes, military interventions, pogroms, and torture; for example, over 1,600 died in Tiandeng County by 1968, and national figures include 237,000 killed in armed struggles per CCP documents. The chaos disrupted education, economy, and social order until Mao's death in 1976.[1][2][3][4]","Official narratives portray the Cultural Revolution as a brief 'period of turbulence' or internal party mistake from 1966-1976, downplaying its violence and mass persecutions while vaguely attributing blame to the 'Gang of Four' (Jiang Qing and associates) rather than Mao or systemic CCP policies under his leadership. It is sometimes framed as having contributed to revolutionary progress or renewal, with the era's tragedies acknowledged only as errors by a small radical faction.[2][7]",China,1966,"MacFarquhar, R.; Schoenhals, M. Mao's Last Revolution",manual,"[{""title"": ""Cultural Revolution | Definition, Facts, & Failure"", ""url"": ""https://www.britannica.com/event/Cultural-Revolution"", ""verified"": false}, {""title"": ""Chronology of Mass Killings during the Chinese Cultural Revolution (1966-1976)"", ""url"": ""https://www.sciencespo.fr/mass-violence-war-massacre-resistance/en/document/chronology-mass-killings-during-chinese-cultural-revolution-1966-1976.html"", ""verified"": true}, {""title"": ""\""Mao's Last Revolution\"": China's Cultural Transformation"", ""url"": ""https://origins.osu.edu/milestones/august-2016-chinese-cultural-revolution-fifty"", ""verified"": true}]","[{""title"": ""Resolution on Certain Questions in the History of Our Party (1981, referenced in Origins article)"", ""url"": ""https://origins.osu.edu/milestones/august-2016-chinese-cultural-revolution-fifty"", ""verified"": true}, {""title"": ""What was China's Cultural Revolution? BBC News (YouTube summary referencing official end with Gang of Four arrest)"", ""url"": ""https://www.youtube.com/watch?v=LqJ9IpWOYQA"", ""verified"": false}, {""title"": ""Cultural Revolution - Wikipedia (section on 16 May Notification and official CCP framing)"", ""url"": ""https://en.wikipedia.org/wiki/Cultural_Revolution"", ""verified"": true}]"
84,Uyghur Cultural Heritage Destruction,"Between roughly 2016 and 2020, a widespread program of alteration and removal of Uyghur religious and cultural sites occurred across China’s Xinjiang Uyghur Autonomous Region. Independent analyses using satellite imagery and ground reporting documented the demolition, significant alteration, or damage of large numbers of mosques, mazars (Sufi shrines), cemeteries, and other sacred sites that had been important to Uyghur religious and communal life; many of these sites had previously been recorded on heritage lists and some were protected under Chinese law.[1][3] Quantitative mapping projects and NGO reports identified hundreds of specific sites and estimated that on the order of one in three mosques and around 30% of important shrines and pilgrimage routes were either demolished or substantially altered since about 2017, with further sites damaged or modified.[3][1] Case-by-case investigations verified individual instances—such as razing of shrine complexes, removal of domes and minarets from mosque buildings, destruction of ancient cemeteries, and conversion of former religious structures into non-religious uses—and corroborated these changes with before-and-after satellite imagery and on-the-ground reporting.[1][4][6] These physical acts of destruction and transformation took place alongside broader state policies in Xinjiang that restricted religious practice, cultural expression, and the activities of scholars and custodians of heritage, situating the loss of built heritage within a larger pattern of repression experienced by Uyghur communities.[4][5]","Official state sources and some Chinese-language media characterized removals and alterations of built structures in Xinjiang as the demolition of 'dilapidated' or dangerous buildings undertaken for public safety, urban development, or tourism-led ‘renovation.’ These accounts present changes to mosque roofs, old-city neighborhoods, or graveyards as routine urban planning, necessary safety upgrades, or cultural revitalization projects, and deny that policy constitutes targeted cultural repression. State narratives often emphasize economic development, law enforcement needs, or the restoration/modernization of historic sites for tourism while portraying Uyghur life as prosperous and harmonious.[6]",China,2020,ASPI; Guardian; Radio Free Asia,manual,"[{""title"": ""Cultural erasure: evidence of cultural destruction in Xinjiang"", ""url"": ""https://www.aspi.org.au/report/cultural-erasure/"", ""verified"": false}, {""title"": ""Xinjiang Data Project \u2014 Cultural erasure explainer"", ""url"": ""https://xjdp.aspi.org.au/explainers/cultural-erasure/"", ""verified"": false}, {""title"": ""Uyghur heritage and the charge of cultural genocide in Xinjiang"", ""url"": ""https://newlinesinstitute.org/rules-based-international-order/genocide/uyghur-heritage-and-the-charge-of-cultural-genocide-in-xinjiang/"", ""verified"": false}]","[{""title"": ""Id Kah Mosque and Kashgar old city reporting noting official narratives of renovation and development"", ""url"": ""https://www.theartnewspaper.com/2020/11/03/uyghur-civilisation-in-china-continues-to-be-erased-as-part-of-chilling-mission"", ""verified"": false}, {""title"": ""Chinese official and state-media accounts framing demolitions as urban renewal or safety-driven removals (representative state narratives)"", ""url"": ""https://xinjiang.sppga.ubc.ca/timelines/cultural-destruction-timeline/"", ""verified"": false}]"
85,Denial of Mass Surveillance in Xinjiang,"Since late 2016, Chinese authorities in Xinjiang have implemented mass surveillance targeting Uyghurs and other Turkic Muslims, utilizing facial recognition, biometric data collection (including iris scans and DNA), AI-driven predictive policing via the Integrated Joint Operations Platform (IJOP), mandatory phone scanning apps, and monitoring of location, electricity usage, and social networks. This system flags individuals based on broad criteria such as possessing religious materials, contacts abroad, or encrypted apps, leading to interrogations, detentions in political education camps, and arbitrary restrictions affecting millions.","Official Chinese statements assert that all surveillance measures in Xinjiang are strictly limited to anti-terrorism and counter-extremism efforts under the 'Strike Hard Campaign against Violent Terrorism,' targeting only threats to public security without ethnic profiling, mass arbitrary detention, or infringement on rights of law-abiding citizens.",China,2018,Human Rights Watch; NYT Xinjiang Papers; IPVM,manual,"[{""title"": ""China's Algorithms of Repression: Reverse-Engineering a Xinjiang Police Mass Surveillance App"", ""url"": ""https://www.hrw.org/report/2019/05/01/chinas-algorithms-repression/reverse-engineering-xinjiang-police-mass"", ""verified"": true}, {""title"": ""Report: China's Use of Massive Surveillance Targets Uyghurs"", ""url"": ""https://www.occrp.org/en/news/report-chinas-use-of-massive-surveillance-targets-uyghurs"", ""verified"": true}, {""title"": ""How Mass Surveillance Works in Xinjiang"", ""url"": ""https://xjdp.aspi.org.au/explainers/how-mass-surveillance-works-in-xinjiang/"", ""verified"": false}]","[{""title"": ""China's counterterrorism law defines these terms in excessively broad and vague terms (contextual reference to official framing)"", ""url"": ""https://www.occrp.org/en/news/report-chinas-use-of-massive-surveillance-targets-uyghurs"", ""verified"": false}, {""title"": ""Strike Hard Campaign against Violent Terrorism (official campaign narrative)"", ""url"": ""https://www.hrw.org/report/2019/05/01/chinas-algorithms-repression/reverse-engineering-xinjiang-police-mass"", ""verified"": false}, {""title"": ""Xinjiang authorities' anti-terrorism big data platform (official system description)"", ""url"": ""https://uhrp.org/report/hikvisions-links-to-human-rights-abuses-in-east-turkistan/"", ""verified"": false}]"
86,Hiding Role in COVID-19 Early Outbreak (Wuhan),"In late December 2019, clinicians in Wuhan hospitals identified and reported cases of pneumonia of uncertain etiology (PUE) to local centers for disease control, with the first officially recorded case showing symptoms around 8 December 2019. On 30 December, the Wuhan Municipal Health Commission (WMHC) issued emergency notices to hospitals demanding secrecy while requesting PUE case submissions, and a joint investigation team defined cases linked to the Huanan Seafood Market. Vision Medicals identified a novel coronavirus in a patient sample earlier that day. Dr. Li Wenliang and other doctors who warned about the virus on social media were reprimanded by authorities on 3 January 2020 for spreading rumors. Official disclosure of 27 PUE cases occurred on 31 December 2019, without mentioning the novel coronavirus, contributing to delayed global awareness as cases spread beyond Wuhan.","China responded to the COVID-19 outbreak quickly and transparently from the outset. The government promptly notified the World Health Organization on 31 December 2019, shared the virus genome sequence on 12 January 2020, and implemented decisive measures like the Wuhan lockdown on 23 January 2020. Dr. Li Wenliang is celebrated as a national hero for his early warnings, with any initial misunderstandings swiftly corrected amid public support.",China,2019,BBC; Wuhan Leaks; WHO Investigative Timeline,manual,"[{""title"": ""A chronology of the COVID-19 outbreak in Wuhan, China [timeline]"", ""url"": ""https://blog.oup.com/2024/05/a-chronology-of-the-covid-19-outbreak-in-wuhan-china-timeline/"", ""verified"": false}, {""title"": ""COVID-19 pandemic - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/COVID-19_pandemic"", ""verified"": false}, {""title"": ""The outbreak of COVID-19: An overview - PMC - NIH"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC7153464/"", ""verified"": false}]","[{""title"": ""WHO Timeline - COVID-19"", ""url"": ""https://www.who.int/news/item/27-04-2020-who-timeline---covid-19"", ""verified"": true}, {""title"": ""Timeline of the COVID-19 pandemic - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic"", ""verified"": false}, {""title"": ""China shares full genome of COVID-19 virus with WHO: official"", ""url"": ""https://www.xinhuanet.com/english/2020-01/12/c_138496565.htm"", ""verified"": false}]"
87,Glorification of 1979 Sino-Vietnamese War,"On February 17, 1979, China launched a large-scale invasion of northern Vietnam with 200,000 to 450,000 troops, supported by tanks and artillery, advancing into key border areas including Lao Cai, Cao Bang, and Lang Son. The conflict, lasting about one month until China's unilateral withdrawal on March 16, 1979, resulted in tens of thousands of casualties on both sides, with Western estimates ranging from 20,000-31,000 Chinese killed or wounded and 20,000-35,000 Vietnamese military casualties, plus significant civilian losses and infrastructure damage in Vietnam. The war is widely regarded by historians as a punitive action by China, primarily in response to Vietnam's invasion of Cambodia, but strategically limited with no major territorial changes and exposing significant shortcomings in China's People's Liberation Army (PLA) organization, tactics, and equipment.","Chinese textbooks and official narratives portray the 1979 war as a 'counterattack in self-defense' (对越自卫反击战), claiming it was a justified and victorious response to Vietnam's alleged provocations, border incursions, and mistreatment of ethnic Chinese in Vietnam. They emphasize heavy Vietnamese casualties (often cited as 42,000-57,000 killed), downplay Chinese losses (officially around 7,000 killed), and present the operation as a successful limited action that achieved its defensive objectives without highlighting the high costs, pyrrhic nature, or PLA's performance failures.",China,1979,"Mitter, R.; People’s Daily Archives; Vietnam War Research Group",manual,"[{""title"": ""Sino-Vietnamese War"", ""url"": ""https://en.wikipedia.org/wiki/Sino-Vietnamese_War"", ""verified"": true}, {""title"": ""The 1979 Sino-Vietnamese War and Its Consequences"", ""url"": ""https://www.hoover.org/research/1979-sino-vietnamese-war-and-its-consequences"", ""verified"": false}, {""title"": ""A Costly Victory: The Sino-Vietnamese War 1979"", ""url"": ""https://bmmhs.org/a-costly-victory-the-sino-vietnamese-war-1979/"", ""verified"": true}]","[{""title"": ""Sino-Vietnamese War"", ""url"": ""https://en.wikipedia.org/wiki/Sino-Vietnamese_War"", ""verified"": false}, {""title"": ""Sino-Vietnamese War Facts for Kids"", ""url"": ""https://kids.kiddle.co/Sino-Vietnamese_War"", ""verified"": true}, {""title"": ""Reassessing the Sino-Vietnamese conflict 1979 I"", ""url"": ""https://warhistory.org/@msw/article/reassessing-the-sino-vietnamese-conflict-1979-i"", ""verified"": true}]"
88,One-Child Policy Coercion and Impact,"China's one-child policy, implemented nationwide from 1980 to 2015 (officially ending in early 2016), restricted most urban families—primarily Han Chinese—to one child, with limited exceptions such as allowing rural families a second child if the first was a girl. Enforcement involved a mix of incentives like financial benefits and longer maternity leave, alongside coercive measures including heavy fines, mandatory contraceptives, forced abortions, and forced sterilizations, particularly targeting rural areas and ethnic minorities. These practices contributed to severe demographic consequences, including a significant gender imbalance due to sex-selective abortions favoring males, an accelerated aging population, and a fertility rate dropping below replacement levels, estimated to have prevented 100-400 million births.","The one-child policy is portrayed as a necessary and successful reform that curbed rapid population growth, enabled economic modernization, quadrupled per capita income, and improved quality of life for Chinese families. State media and officials emphasize voluntary compliance through incentives and education, minimize or deny instances of coercion, and depict the policy as widely accepted and revolutionary for society, issuing honors like 'Certificates of Honor for Single-Child Parents' to compliant families.",China,1980,"Greenhalgh, S.; Planned Birth, Unplanned Consequences; Amnesty International",manual,"[{""title"": ""One-child policy | Definition, Start Date, Effects, & Facts | Britannica"", ""url"": ""https://www.britannica.com/topic/one-child-policy"", ""verified"": false}, {""title"": ""China's Population Policy at the Crossroads: Social Impacts and Prospects"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC4657744/"", ""verified"": false}, {""title"": ""CHINA'S ONE-CHILD POLICY - Asia Pacific Curriculum [PDF]"", ""url"": ""https://asiapacificcurriculum.ca/system/files/2019-02/China's%20One-Child%20Policy%20Background%20Reading.pdf"", ""verified"": false}]","[{""title"": ""An Open Letter to All Members of the Communist Party and Communist Youth League on the Issue of Controlling the Population Growth (1980 CPC Central Committee)"", ""url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC4657744/"", ""verified"": false}, {""title"": ""China's One-Child Policy: How It Started in the First Place | TIME"", ""url"": ""https://time.com/4092689/china-one-child-policy-history/"", ""verified"": false}, {""title"": ""The End of China's One-Child Policy - Brookings Institution"", ""url"": ""https://www.brookings.edu/articles/the-end-of-chinas-one-child-policy/"", ""verified"": false}]"
89,Underreporting of Ethnic Minority Population Decline,"Census and satellite data indicate declining birth rates and population growth slowdowns in Uyghur, Kazakh, and other Muslim-majority regions of Xinjiang, China, particularly pronounced in southern Xinjiang from 2016-2018. These trends coincide with government policies including mass surveillance, arbitrary detention of over one million Uyghurs and other Turkic Muslims in internment camps since 2017, forced sterilizations, mandatory pregnancy checks, coercive IUD insertions, abortions, and restrictions on religious practices and family sizes specific to ethnic minorities.[1][2][4]","Official Chinese statistics from the 2020 census report stable or growing minority populations in Xinjiang, with Uyghurs and other groups constituting about 58% of the region's 26 million people. Authorities attribute demographic changes to enhanced education, economic prosperity, poverty alleviation, and voluntary family planning policies, while denying any forced measures and claiming population stability or natural growth.[1][2]",China,2020,"Zenz, A.; NYT; BBC; UN Reports",manual,"[{""title"": ""Measuring Religion in China"", ""url"": ""https://www.pewresearch.org/religion/2023/08/30/islam/"", ""verified"": false}, {""title"": ""\""Break Their Lineage, Break Their Roots\"": China's Crimes against Humanity Targeting Uyghurs and Other Turkic Muslims"", ""url"": ""https://www.hrw.org/report/2021/04/19/break-their-lineage-break-their-roots/chinas-crimes-against-humanity-targeting"", ""verified"": true}, {""title"": ""Country policy and information note: Muslims (including Uyghurs) in Xinjiang, July 2022"", ""url"": ""https://www.gov.uk/government/publications/china-country-policy-and-information-notes/country-policy-and-information-note-muslims-including-uyghurs-in-xinjiang-july-2022-accessible"", ""verified"": false}]","[{""title"": ""Main Results of the Seventh National Population Census"", ""url"": ""http://www.stats.gov.cn/english/PressRelease/202105/t20210510_1817185.html"", ""verified"": false}, {""title"": ""Xinjiang Population Report by National Bureau of Statistics"", ""url"": ""http://www.stats.gov.cn/tjsj/zxfb/202012/t20201218_1800481.html"", ""verified"": false}, {""title"": ""White Paper: 'Vocational Education and Training in Xinjiang'"", ""url"": ""http://english.www.gov.cn/archive/whitepaper/201908/17/content_WS5d57f386c6d0c6695dee95d6.html"", ""verified"": false}]"
90,Disappearance of Independent Labor Unions,"In December 2015, Chinese authorities in Guangdong province, particularly in Guangzhou and surrounding areas, conducted a coordinated crackdown on independent labor NGOs and activists. At least 21 labor activists were arrested in their homes and offices on December 3 and 4, with charges including 'disrupting public order' and 'embezzlement.' Organizations such as the Panyu Dagongfu Social Work Service Center were targeted, their offices raided, and documents and equipment seized. Over 50 other activists were summoned for questioning. This action followed a period of increased worker strikes (2010–2015) in the region, where these NGOs had supported labor organizing due to the absence of independent unions. Many activists were imprisoned, and the NGOs were effectively disbanded.","The Chinese government claims that workers' rights are fully protected through the official All-China Federation of Trade Unions (ACFTU), the sole legitimate trade union organization. Arrests and crackdowns on labor activists and NGOs are portrayed as necessary anti-corruption measures or actions to maintain social stability and public order, rather than suppression of independent labor organizing.",China,2015,China Labour Bulletin; Human Rights Watch,manual,"[{""title"": ""Chinese regime cracks down on labour activists"", ""url"": ""https://chinaworker.info/en/2015/12/17/11537/"", ""verified"": true}, {""title"": ""Chinese Workers Are Facing Escalating Repression"", ""url"": ""https://jacobin.com/2023/04/china-workers-labor-movement-left-state-repression/"", ""verified"": true}, {""title"": ""Collective Bargaining in China is Dead"", ""url"": ""http://press-files.anu.edu.au/downloads/press/n6764/pdf/collective_bargaining.pdf"", ""verified"": false}]","[{""title"": ""All-China Federation of Trade Unions official website (example of workers' rights protection claims)"", ""url"": ""http://www.acftu.org/"", ""verified"": false}, {""title"": ""Xinhua News: China intensifies anti-corruption campaign (contextual regime narrative)"", ""url"": ""http://www.xinhuanet.com/english/2015-12/04/c_134883000.htm"", ""verified"": false}, {""title"": ""People's Daily: Safeguarding social stability through law (example of public order framing)"", ""url"": ""http://en.people.cn/n3/2015/1205/c90000-98000000.html"", ""verified"": false}]"
91,Exploitation in Belt and Road Initiative Projects,"The Belt and Road Initiative (BRI), launched by China in 2013, involves overseas infrastructure projects that have been associated with exploitative labor practices. These include forced labor described as a 'hidden cost,' deceptive recruitment leading to debt bondage, passport confiscation, forced overtime, physical violence, restricted movement, and retaliation against abuse reports in projects across Africa, Europe, the Middle East, Asia, and elsewhere. Migrant workers from China report being paid less than promised, working excessive hours (up to 12 hours daily, 7 days a week), facing passport detention, unpaid wages, illegal visas, poor living conditions, lack of safety equipment, and intimidation or punishment for protests. Local communities have experienced job displacement due to preference for Chinese laborers, fueling resentment, alongside issues like community displacement without compensation and manipulation through debt in host countries.[1][2][3]","State media portrays the Belt and Road Initiative as a framework of 'mutually beneficial cooperation' and 'win-win' outcomes, fostering global development, infrastructure connectivity, and economic prosperity for all participating nations without mentioning labor violations, protests, exploitation, or negative impacts, which are dismissed as foreign misinformation or interference.",China,2013,Economist; Belt & Road Tracker; Human Rights Watch,manual,"[{""title"": ""'Hidden cost' of China's Belt and Road is forced labor: U.S. report"", ""url"": ""https://www.business-humanrights.org/en/latest-news/hidden-cost-of-chinas-belt-and-road-is-forced-labour-us-state-department-report-says/"", ""verified"": true}, {""title"": ""Silent Victims of Labor Trafficking: China's Belt and Road workers stranded overseas amid COVID-19 pandemic"", ""url"": ""https://chinalaborwatch.org/silent-victims-of-labor-trafficking-chinas-belt-and-road-workers-stranded-overseas-amid-covid-19-pandemic/"", ""verified"": false}, {""title"": ""Chinese Workers Say They Are Lured Abroad and Exploited for Belt and Road Jobs"", ""url"": ""https://www.business-humanrights.org/en/latest-news/chinese-belt-road-migrant-workers-paid-less-than-promised-and-feel-exploited-according-to-labour-rights-groups-survey/"", ""verified"": true}]","[{""title"": ""Full text of President Xi Jinping's keynote speech at the Belt and Road Forum"", ""url"": ""http://www.beltandroadforum.org/english/n101/2023/1010/c124-895.html"", ""verified"": true}, {""title"": ""Mutual benefit key to Belt and Road cooperation"", ""url"": ""http://en.cppcc.gov.cn/2021-01/25/c_606776.htm"", ""verified"": false}, {""title"": ""China's Belt and Road Initiative is not debt-trap diplomacy"", ""url"": ""https://www.cgtn.com/news/2023-10-17/China-s-Belt-and-Road-Initiative-is-not-debt-trap-diplomacy-1o5ZfK6z4oY/index.html"", ""verified"": false}]"
92,Erasure of Tibet’s Cultural Repression in Education,"In 2016, as part of China's 13th Five-Year Plan for National Language Works (2016-2020), authorities advanced policies promoting Mandarin Chinese as the primary medium of instruction in Tibetan areas, building on the National Long-Term Education Reform and Development Plan (2010-2020). This led to the closure of Tibetan-language schools, including private institutions, and the curtailment of monastic education. Tibetan history and culture were systematically removed from school curricula, with Mandarin becoming mandatory in most primary and secondary schools across Tibetan regions, including the Tibet Autonomous Region and areas in Qinghai, Sichuan, and other provinces.","Authorities claim these educational reforms provide equal opportunity and access to modern, high-quality education for Tibetan children, framing the shift to Mandarin-medium instruction and curriculum standardization as essential modernization and rural revitalization efforts to foster economic development, social cohesion, and national unity.",China,2016,International Campaign for Tibet; Freedom House,manual,"[{""title"": ""China\u2019s \u2018Bilingual Education\u2019 Policy in Tibet"", ""url"": ""https://www.hrw.org/report/2020/05/20/chinas-bilingual-education-policy-tibet/linguistic-repression-tibetan-education"", ""verified"": false}, {""title"": ""Ngaba highlights erosion of Tibetan language instruction"", ""url"": ""https://savetibet.org/ngaba-highlights-erosion-of-tibetan-language-instruction/"", ""verified"": false}, {""title"": ""Learning to Forget: China's Dismantling of Tibet's Education & Culture"", ""url"": ""https://lawblogs.uc.edu/ihrlr/2025/05/29/learning-to-forget-chinas-dismantling-of-tibets-education-and-culture/"", ""verified"": true}]","[{""title"": ""National Long-Term Education Reform and Development Plan (2010-2020)"", ""url"": ""http://www.moe.gov.cn/publicfiles/business/htmlfiles/moe/s7150/201203/131368.html"", ""verified"": false}, {""title"": ""13th Five-Year Development Plan for National Language Works (2016-2020)"", ""url"": ""http://www.gov.cn/xinwen/2016-12/28/content_5150779.htm"", ""verified"": false}, {""title"": ""Goals and main tasks of Tibet during the 13th Five-Year Plan"", ""url"": ""http://www.gov.cn/zhengce/content/2016-08/17/content_5101085.htm"", ""verified"": false}]"
93,Censorship of MeToo Movement,"In 2018, the #MeToo movement emerged in China through social media, with victims sharing stories of sexual harassment and assault. High-profile cases, such as university student Zhou Xiaoxuan's (also known as Xianzi) public accusation against state television host Zhu Jun for groping her in 2014, gained significant traction before being censored. Posts were rapidly removed, hashtags like #MeToo were blocked or filtered on platforms such as Weibo and WeChat, and accounts of feminist organizations like Feminist Voices were suspended. Petitions and discussions related to the movement faced regular deletion, amid broader government crackdowns on activism, including detentions of feminists and warnings against perceived foreign collusion.","State media portrays the #MeToo movement as a foreign-inspired disruption to social harmony, largely ignoring it while framing participants as attention-seekers, liars, or tools of Western interference. Victims are depicted through slut-shaming and accusations of fabricating claims for fame, with the legal system positioned as fair but rarely delivering justice due to insufficient evidence, emphasizing that such issues are exaggerated and not systemic in China.",China,2018,New York Times; Sixth Tone; Human Rights Watch,manual,"[{""title"": ""Social-Media Driven Activism in the Face of Government Censorship"", ""url"": ""https://journals.law.harvard.edu/jlg/2019/06/metoo-in-china-social-media-driven-activism-in-the-face-of-government-censorship/"", ""verified"": false}, {""title"": ""#MeToo in the land of censorship"", ""url"": ""https://www.hrw.org/news/2020/05/08/metoo-land-censorship"", ""verified"": true}, {""title"": ""#MeToo in Asia: Victories, Defeats and the Case for Digital Activism"", ""url"": ""https://www.cigionline.org/articles/metoo-in-asia-victories-defeats-and-the-case-for-digital-activism/"", ""verified"": false}]","[{""title"": ""MeToo movement in China - Wikipedia (describing government-aligned narratives and censorship tactics)"", ""url"": ""https://en.wikipedia.org/wiki/MeToo_movement_in_China"", ""verified"": false}, {""title"": ""#MeToo in Asia: Victories, Defeats and the Case for Digital Activism (on state-sponsored harassment and propaganda)"", ""url"": ""https://www.cigionline.org/articles/metoo-in-asia-victories-defeats-and-the-case-for-digital-activism/"", ""verified"": false}, {""title"": ""#MeToo in the land of censorship (context on party-state control and suppression narratives)"", ""url"": ""https://www.hrw.org/news/2020/05/08/metoo-land-censorship"", ""verified"": false}]"
94,Fabrication of Rural Poverty Elimination,"In 2020, the Chinese government officially declared the elimination of absolute poverty nationwide, based on its national rural poverty line of 2,300 yuan per year (in 2010 constant prices, equivalent to about $339.7 annually). This announcement followed a targeted campaign initiated in 2015 under the 13th Five-Year Plan, aiming to lift 55.75 million rural poor out of poverty by the end of 2020. President Xi Jinping stated in December 2020 that China had accomplished its poverty alleviation target as scheduled, with nearly 100 million rural residents lifted out of poverty over the preceding eight years, all 832 impoverished counties removed from the poverty list, and the fulfillment of commitments to eliminate 'two worries' (inadequate food and clothing) and ensure 'three guarantees' (compulsory education, basic medical services, and safe housing). Official statistics from the National Bureau of Statistics confirmed that 98.99 million rural poor had been alleviated since the 18th National Congress of the Communist Party of China.","Authorities hailed the 2020 poverty elimination as a historic achievement of socialism under Xi Jinping's leadership, representing a monumental anti-poverty campaign on an unprecedented scale that created a miracle by lifting the final 98.99 million rural poor out of absolute poverty, eradicating it nationwide, and contributing significantly to global poverty reduction. Any critique or international skepticism was dismissed as hostile propaganda, with the accomplishment celebrated as impressing the world and positioning China as a leader in achieving UN Sustainable Development Goals ahead of schedule.",China,2020,Economist; SCMP; Chinese Academy of Social Sciences Whistleblower Accounts,manual,"[{""title"": ""Statistical Communiqu\u00e9 of the People's Republic of China on the 2020 National Economic and Social Development"", ""url"": ""https://www.stats.gov.cn/english/PressRelease/202102/t20210228_1814177.html"", ""verified"": true}, {""title"": ""Is China Succeeding at Eradicating Poverty? - ChinaPower Project"", ""url"": ""https://chinapower.csis.org/poverty/"", ""verified"": true}, {""title"": ""Poverty in China - Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Poverty_in_China"", ""verified"": true}]","[{""title"": ""SPECIAL ISSUE ON CHINA'S COMPLETE VICTORY OF POVERTY ALLEVIATION"", ""url"": ""https://www.idcpc.gov.cn/english2023/dzwk/zgkx/202307/P020230717028601583808.pdf"", ""verified"": false}, {""title"": ""China's poverty elimination reflects human-centered vision"", ""url"": ""https://en.people.cn/n3/2025/1121/c90000-20393434.html"", ""verified"": true}, {""title"": ""Lifting 800 Million People Out of Poverty \u2013 New Report Looks at Lessons from China\u2019s Experience"", ""url"": ""https://www.worldbank.org/en/news/press-release/2022/04/01/lifting-800-million-people-out-of-poverty-new-report-looks-at-lessons-from-china-s-experience"", ""verified"": true}]"
95,Discrimination Against Internal Migrant Workers (Hukou),"In the early 2000s, China's hukou household registration system institutionalized discrimination against internal migrant workers from rural areas. Despite their essential role in urban construction, manufacturing, and services, rural hukou holders were largely excluded from urban public services including education for their children, healthcare, housing, and social welfare benefits. They faced employment discrimination, lower wages, hazardous working conditions, denial of labor contracts, and barriers to unionizing, with temporary residence permits failing to grant equal rights regardless of duration of stay.","The hukou system successfully bridges rural and urban areas by facilitating controlled labor mobility essential for China's rapid economic growth. Restrictions on migrants' access to services are temporary inconveniences necessary to maintain social stability and orderly urbanization, with reforms progressively addressing any minor issues while highlighting migrants' contributions to national prosperity.",China,2000,"Chan, K.W.; The Hukou System and Migrant Labor in China",manual,"[{""title"": ""Internal migrants: Discrimination and abuse"", ""url"": ""https://www.amnesty.org/en/wp-content/uploads/2021/07/asa170082007en.pdf"", ""verified"": false}, {""title"": ""The Hukou System and Wage Gap between Urban and Rural Workers"", ""url"": ""https://www.ier.hit-u.ac.jp/Common/publication/DP/DPS-A751.pdf"", ""verified"": false}, {""title"": ""CHINA'S HOUSEHOLD REGISTRATION (HUKOU) SYSTEM"", ""url"": ""https://www.congress.gov/event/109th-congress/joint-event/LC70084/text"", ""verified"": false}]","[{""title"": ""China's Hukou Reform: A Progress Report"", ""url"": ""http://english.gov.cn/state_council/ministries/2014/08/22/content_281474983048022.htm"", ""verified"": false}, {""title"": ""Reform of the Hukou System: A Major Task in Building a Moderately Prosperous Society in All Respects"", ""url"": ""http://www.chinadaily.com.cn/china/19thcpcnationalcongress/2017-11/04/content_34115222.htm"", ""verified"": false}, {""title"": ""China's Hukou System: Reforms Bring Hope for Migrant Workers"", ""url"": ""http://www.xinhuanet.com/english/2014-07/30/c_133531746.htm"", ""verified"": false}]"
