ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method
11,China's Economic Liberalization (1978 onwards),"Economic reforms under Deng Xiaoping involved significant market liberalization, foreign investment, and moving away from strict central planning, leading to rapid growth but also increased inequality.","CCP narrative emphasizes the ""socialism with Chinese characteristics"" model as a natural evolution of Marxist principles, downplaying the capitalist elements and market reforms, and maintaining the Party's absolute ideological leadership.",China,1978–2025,"Naughton, The Chinese Economy (2014)",manual
12,East Turkestan Independence Movement Suppression,"The Chinese government has systematically suppressed the Uyghur independence movement in Xinjiang, labeling it as ""terrorism"" and implementing widespread surveillance and severe restrictions on cultural and religious practices.","PRC portrays the suppression as a necessary part of its ""war on terror"" and ""de-extremification"" efforts, denying ethnic persecution and framing Uyghur cultural expression as potential separatism.",China,1990–2025,"Roberts, The War on the Uyghurs (2020); testimonies",manual
13,Tibet's Annexation by China (1950s),"In 1950, China invaded Tibet, effectively annexing it by 1951. Subsequent decades saw violent suppression of Tibetan culture, religion, and autonomy, leading to hundreds of thousands of deaths and destruction of monasteries.","Beijing claims Tibet was always an integral part of China, portraying the 1950 ""peaceful liberation"" as freeing Tibetans from feudal serfdom, denying the invasion and subsequent cultural destruction.",China,1950–2025,"Shakya & Siebenschuh, Dragon in the Land of Snows (1999); Dalai Lama's accounts",manual
14,China's Three Gorges Dam Displacement,"The construction of the Three Gorges Dam (initiated 1994) led to the forced relocation of over 1.3 million people, often with inadequate compensation and social disruption, despite environmental and human rights concerns.","The Chinese government hailed the dam as a monumental engineering achievement essential for flood control and clean energy, downplaying the scale of displacement and the social and environmental costs.",China,1994-2006,"Dai Qing, The River and the Wall (1998); Human Rights Watch",manual
15,Chinese Surveillance State Expansion,"Since the 2000s, China has rapidly expanded its digital surveillance capabilities, including facial recognition, social credit systems, and extensive internet censorship, leading to severe restrictions on civil liberties.","The CCP claims these technologies are solely for maintaining social stability, combating crime, and providing convenient public services, denying their use for political repression and mass monitoring.",China,2000-2025,HRW; Freedom House reports on China; Xinjiang Papers,manual
16,Chinese Factional Violence during Cultural Revolution,"Intense factional fighting between Red Guard groups and various armed organizations during the Cultural Revolution (1966-1976) led to widespread localized violence, massacres, and anarchy, often outside central control.","While the CCP later admitted ""chaos,"" it often downplayed the extent of inter-factional violence and mass killings, preferring to focus on a unified ""struggle"" against ""bad elements"" and obscuring Mao's role in unleashing the forces.",China,1966-1976,"MacFarquhar & Schoenhals, Mao's Last Revolution (2006); Chinese local histories",manual
17,"China's Economic Reform ""Dark Side""","China's rapid economic growth since 1978 led to massive environmental degradation, rampant corruption, and widening wealth inequality, creating significant social tensions.","The CCP consistently emphasizes the ""miracle"" of economic growth and poverty reduction, downplaying severe environmental damage, corruption scandals, and the social costs of its development model.",China,1978-2025,"Feng Chen, Privatization and its Discontents (2010); Elizabeth C. Economy, The River Runs Black (2004)",manual
18,"Tiananmen ""Normalcy"" Post-1989","Following the 1989 crackdown, the CCP has gone to extreme lengths to erase all public memory of the Tiananmen Square Massacre, promoting a narrative of rapid economic growth and social stability since 1989.","Chinese state media and official discourse promote a narrative of post-1989 ""normalcy"" and stability, depicting the crackdown as a necessary, swift action that paved the way for China's prosperity.",China,1989-2025,"Louisa Lim, The People's Republic of Amnesia (2014); CCP official statements",manual
19,"China's Tibet ""Re-education"" Campaigns","Beyond initial annexation, China has continued ""patriotic education"" campaigns in Tibet, suppressing Tibetan Buddhist practices, forcing cultural assimilation, and curtailing freedom of expression since the 2000s.","Beijing claims these policies are aimed at modernizing Tibet, improving living standards, and combating ""separatism"" and ""feudal superstitions,"" denying religious persecution and cultural genocide.",China,1900-2025,Human Rights Watch; International Campaign for Tibet reports,manual
20,"Chinese Great Famine's ""Three Natural Disasters""","The Great Chinese Famine (1958-1962) was primarily caused by disastrous CCP policies (Great Leap Forward), leading to tens of millions of deaths.","The CCP officially attributed the famine to ""three years of natural disasters"" (san nian ziran zaihai), minimizing or denying the human-made policy failures.",China,1958-1962,"Yang Jisheng, Tombstone (2008)",manual
21,"China's Cultural Revolution as ""Gang of Four"" Sole Fault","The Cultural Revolution was initiated and largely directed by Mao Zedong, leading to widespread chaos and persecution.","The CCP's post-Mao narrative largely blamed the Cultural Revolution's excesses on the ""Gang of Four"" and Lin Biao, portraying them as a deviation from true communism and absolving Mao of full responsibility.",China,1976-1981,"MacFarquhar & Schoenhals, Mao's Last Revolution (2006)",manual
22,"Tiananmen ""Counter-Revolutionary Riot""","The 1989 Tiananmen Square protests were a peaceful, student-led pro-democracy movement brutally suppressed by the PLA.","The Chinese government continues to officially label the protests a ""counter-revolutionary riot"" (fandong baoluan), justifying the military crackdown as necessary to maintain stability.",China,1989,The Tiananmen Papers (2001),manual
23,"China's Economic ""Miracle"" (Human Cost)","China's rapid economic growth since 1978 came at a significant human cost, including forced labor, widespread worker exploitation, and environmental degradation.","The CCP emphasizes the unprecedented scale of poverty alleviation and economic development, downplaying the exploitation, environmental damage, and human rights abuses that fueled this growth.",China,1978-2025,"Pun Ngai, Made in China (2005); HRW reports",manual
24,"China's ""Harmonious Society"" (Dissent Suppression)","The ""Harmonious Society"" concept under Hu Jintao was used to justify increased censorship, surveillance, and suppression of dissent in the name of social stability.","The CCP claims ""harmonious society"" is about improving social welfare and reducing inequality, while simultaneously denying that its policies suppress legitimate grievances and free speech.",China,2000-2012,"Economy, The Party and the Planet (2010); HRW reports",manual
25,China's South China Sea Historical Claims,"China asserts vast historical claims over most of the South China Sea, including features far from its mainland, citing ancient maps and historical usage, despite international law contradicting these claims.","Beijing portrays its South China Sea claims as based on ""indisputable historical facts"" and ""sovereign rights,"" rejecting international rulings and dismissing the claims of other littoral states.",China,2000-2025,"Permanent Court of Arbitration ruling (2016); M. Taylor Fravel, Strong Borders, Secure Nation (2008)",manual
26,"China's Fuzhou ""May 13"" Incident (1968)","During the Cultural Revolution, the ""May 13"" Incident in Fuzhou saw intense factional fighting and a massacre of over 600 people, mostly Red Guards, by rival factions and local military units.","Local official histories in China often downplayed the severity and human cost of such factional violence, attributing it to a few ""bad elements"" rather than the systemic chaos of the Cultural Revolution.",China,1968,"Dittmer, Liu Shaoqi and the Chinese Cultural Revolution (1998)",manual
27,China's Great Firewall (Internet Censorship),"Since the late 1990s, China has built the ""Great Firewall,"" a massive internet censorship and surveillance system that blocks foreign websites and suppresses online dissent.","The CCP claims the Firewall is necessary to protect national security, maintain social stability, and filter out ""harmful"" information, denying its role in suppressing free speech and access to information.",China,1990-2025,"MacKinnon, Censoring an Internet (2008); Freedom House reports",manual
28,China's Rural-Urban Divide (Hukou System),"China's hukou (household registration) system restricts rural migrants' access to public services (education, healthcare) in cities, creating a de facto two-tiered society with systemic discrimination.","The CCP maintains the hukou system is necessary for urban management and public services, denying its role in perpetuating inequality and limiting the rights of migrant workers.",China,1950-2025,"Solinger, China's Urban Migration (1999); HRW reports",manual
29,"Chinese ""Debt Trap Diplomacy""","China's Belt and Road Initiative (BRI) has been criticized for creating ""debt traps"" for developing nations, leading to loss of sovereignty over strategic assets if loans cannot be repaid.","Beijing portrays BRI loans and projects as mutually beneficial development aid and win-win cooperation, denying any predatory lending practices or intentions to gain strategic leverage.",China,2013-2025,Center for Global Development reports; IMF analyses,manual
30,"Chinese Tiananmen ""Self-Sacrifice"" Narrative","In the years following 1989, some official narratives hinted that the crackdown was a necessary ""self-sacrifice"" by the Party to ensure China's stability and economic rise.","This narrative re-frames the violent suppression as a painful but ultimately beneficial decision, asserting the Party's wisdom and denying the human cost of crushing dissent.",China,1989-2025,"Louisa Lim, The People's Republic of Amnesia (2014)",manual
31,"China's ""Peaceful Rise"" Doctrine","China's official ""peaceful rise"" (later ""peaceful development"") doctrine emphasizes its non-threatening intentions while simultaneously engaging in aggressive territorial claims and military expansion.","Beijing asserts its growth is entirely peaceful and poses no threat to existing global order, denying any hegemonic ambitions or aggressive actions in regions like the South China Sea.",China,2000-2025,"Chinese government white papers; M. Taylor Fravel, Active Defense (2019)",manual
32,Chinese Great Leap Forward (Mao's Role),Mao Zedong's ideological fervor and flawed economic policies were directly responsible for the Great Leap Forward famine.,"Post-Mao CCP narratives partially acknowledged the famine but sought to diminish Mao's direct culpability, attributing it to ""leftist errors"" or ""natural disasters"" rather than his catastrophic leadership.",China,1962,"Yang Jisheng, Tombstone (2008)",manual
33,"China's Economic ""Opening Up"" (Deng Xiaoping's Role)",Deng Xiaoping was instrumental in initiating China's economic reforms and opening up to the world after 1978.,"Official CCP historiography, while crediting Deng, increasingly emphasizes the continuity of these reforms with Mao's legacy, seeking to maintain a unified historical narrative and enhance Party legitimacy.",China,1978-1990,"Vogel, Deng Xiaoping and the Transformation of China (2011)",manual
34,"Chinese Communist Party's ""Self-Correction""","The CCP's narrative frames major historical setbacks (like the Cultural Revolution or Great Leap Forward) as ""errors"" that the Party bravely recognized and corrected through internal mechanisms.","This narrative aims to show the Party's resilience and capacity for self-reform, downplaying the human cost of these ""errors"" and denying that external pressure or popular dissent forced the changes.",China,1981-2025,CCP Central Committee Resolution on Party History (1981),manual
35,China's Internet Control (Social Stability),"China's vast internet censorship and surveillance apparatus (""Great Firewall"") is used to suppress political dissent and control information flow, limiting citizens' access to global information.","The Chinese government justifies these controls as necessary for maintaining social stability, filtering out ""harmful"" content, and protecting national security, denying it's about political repression.",China,1990-2025,Human Rights Watch; Freedom House reports on internet freedom,manual
36,China's Belt and Road Initiative (Environmental),"The BRI projects often have significant negative environmental impacts, including deforestation, habitat destruction, and pollution, due to large-scale infrastructure development.","China promotes the BRI as a green and sustainable development initiative, downplaying or denying its environmental footprint and the lack of stringent environmental safeguards in many projects.",China,2013-2025,WWF; Environmental Justice Foundation reports,manual
37,China's 'Peaceful Rise' Military Buildup,"China's rapid military modernization and expansion, including naval and air forces, is presented as purely defensive despite its increasing assertiveness in contested regions.","Beijing maintains its military buildup is for defensive purposes and regional stability, denying any offensive intentions or challenges to existing global power structures.",China,2000-2025,U.S. Department of Defense reports; Stockholm International Peace Research Institute (SIPRI),manual
38,"China's ""Spiritual Pollution"" Campaign (1983)","In 1983, the CCP launched the ""Anti-Spiritual Pollution Campaign"" targeting Western influences, liberalism, and intellectual dissent, resulting in purges and censorship.","The Party portrayed the campaign as necessary to protect socialist morality and ideological purity from corrupting foreign ideas, denying it was a crackdown on intellectual freedom.",China,1983-1984,"Goldman, Sowing the Seeds of Democracy in China (1994)",manual
39,"Chinese ""Eight-Point Regulation"" (Propaganda)","The CCP's ""Eight-Point Regulation"" for frugality and anti-corruption in 2012 was accompanied by extensive propaganda to demonstrate the Party's commitment to clean governance.","The propaganda emphasizes the Party's resolve against corruption, often obscuring that the campaign is also used to eliminate political rivals and consolidate power.",China,2012-2025,Transparency International; Chinese state media analysis,manual
40,"Chinese ""Century of Humiliation""","The ""Century of Humiliation"" (1839-1949) narrative emphasizes foreign aggression and exploitation of China, bolstering nationalistic sentiment and justifying CCP rule.","While foreign exploitation was real, the narrative selectively highlights foreign abuses while downplaying internal weaknesses, corruption of Qing/KMT, and CCP's own violent history, serving to legitimize current leadership.",China,1839-1949,"Callahan, China: The History of the Future (2008)",manual
41,"Chinese ""Reform and Opening Up"" (Political)","China's ""reform and opening up"" initiated by Deng Xiaoping was primarily economic, with political reforms strictly limited to maintain Party control, leading to continued authoritarianism.","The CCP emphasizes the overall ""progress"" of reform, downplaying the lack of genuine political liberalization and the continued suppression of human rights.",China,1978-2025,"Shirk, The Political Logic of Economic Reform in China (1993)",manual
42,"China's ""Patriotic Education Campaign"" (1990)","Following the Tiananmen crackdown, the CCP launched a ""Patriotic Education Campaign"" to instill nationalistic fervor and bolster Party legitimacy, emphasizing victimhood at the hands of foreign powers.","This campaign aimed to redirect public discontent, consolidate Party rule, and divert attention from the 1989 massacre by promoting a unified, Party-centric national narrative.",China,1990-2025,"Zhao, A Nation-State by Construction (2004)",manual
43,"Chinese ""Social Credit System""","China's social credit system aims to evaluate citizens' and companies' trustworthiness, leading to punishment for ""bad"" behavior and potential political control.","The CCP promotes the system as a tool to enhance ""trustworthiness"" and ""social harmony,"" denying its use for political control and surveillance.",China,2014-2025,"Creemers, China's Social Credit System (2018)",manual
44,Chinese Factional Violence During Cultural Revolution (Regions),"In many Chinese provinces, violent factional struggles between rival Red Guard groups and revolutionary committees led to localized civil wars and massacres during the Cultural Revolution.","Official histories often generalize ""chaos"" while not fully detailing the specific regional massacres and the complicity of local Party and military leaders in such violence.",China,1966-1976,"MacFarquhar & Schoenhals, Mao's Last Revolution (2006)",manual
45,Chinese 'Peaceful Coexistence' (Intervention),"China has long promoted a foreign policy of ""peaceful coexistence,"" but has also engaged in military interventions (e.g., Vietnam, Tibet) and coercive diplomacy.","Beijing uses the ""peaceful coexistence"" rhetoric to project a benign international image, obscuring its own history of military intervention and assertive foreign policy actions.",China,1950-2025,"Garver, Foreign Relations of the People's Republic of China (1993)",manual
46,China's South-South Cooperation (Non-Interference),"China champions ""South-South Cooperation"" based on principles of non-interference, yet its investments and policies in developing countries sometimes lead to local grievances, environmental damage, and political influence.","Beijing promotes its aid and investment as purely beneficial and free from political strings, denying any negative impacts or neo-colonial undertones.",China,2000-2025,"Brautigam, The Dragon's Gift (2009); independent research",manual
47,China's COVID-19 Initial Cover-up,"The Chinese government initially suppressed information about the COVID-19 outbreak in Wuhan in late 2019, silencing whistleblowers and delaying recognition of human-to-human transmission.","Beijing initially denied or downplayed the severity and transmissibility of the virus, portraying early actions as effective and transparent, despite evidence of initial cover-up.",China,2019-2020,World Health Organization (initial reports); independent journalistic investigations,manual
48,"Chinese ""Re-education Camps"" in Xinjiang (Forced Labor)","Beyond indoctrination, Uyghur and other Turkic minorities in Xinjiang detention camps are subjected to forced labor in factories, as documented by satellite imagery and survivor testimonies.","The PRC denies forced labor, claiming participation in ""vocational training"" is voluntary and designed to alleviate poverty.",China,2017-2025,ASPI reports; Human Rights Watch,manual
49,Chinese Great Famine's Cannibalism,"During the Great Chinese Famine (1958-1962), widespread instances of cannibalism occurred due to extreme starvation, documented by internal CCP reports and survivor testimonies.","The CCP has consistently suppressed information about cannibalism during the famine, as it profoundly contradicts the image of a benevolent Party caring for its people.",China,1958-1962,"Yang Jisheng, Tombstone (2008)",manual
50,China's 'Harmonious Society' (Social Inequality),"The 'Harmonious Society' (2000s) aimed to address inequality, but China's Gini coefficient remained high, indicating persistent and growing wealth disparities.","The CCP promoted the idea of a rapidly harmonizing society, downplaying the severe and growing social and economic inequalities that contradicted this narrative.",China,2000-2012,"Milanovic, Global Inequality (2016)",manual
51,China's One-Child Policy (Aging Crisis),"The One-Child Policy (1980-2016) created a looming demographic crisis, including a rapidly aging population and a shrinking workforce, which will pose massive economic challenges.","The CCP initially emphasized the policy's success in curbing population growth and promoting economic development, downplaying its severe demographic consequences for decades.",China,1980-2016,"Wang Feng, Population Policy and the Future of China (2011)",manual
52,China's Three Gorges Dam Displacement,"The construction of the Three Gorges Dam displaced over 1.3 million people, causing significant social disruption and environmental impact.","The Chinese government promoted the dam as a monumental achievement for flood control and power generation, downplaying the human cost and ecological consequences.",China,1994-2006,"Human Rights Watch; Dai Qing, The River and the Wall (1989)",manual
53,1951 Seventeen Point Agreement with Tibet,"The 1951 Seventeen Point Agreement was signed under duress after PLA forces occupied Tibet. It guaranteed Tibetan autonomy and religion but was soon violated by forced collectivization, destruction of monasteries, and suppression of the Dalai Lama’s authority.","CCP depicts the agreement as a voluntary union of Tibet with the ""motherland,"" emphasizing peaceful liberation and framing it as a patriotic act by Tibetan elites.",China,1951,"Goldstein, M. (1998), The Snow Lion and the Dragon",manual
54,1989 Tibet Uprising Suppression,"In March 1989, thousands of Tibetans protested in Lhasa; Chinese forces violently cracked down, resulting in deaths, mass arrests, and martial law. Witnesses and NGOs reported widespread abuses and extrajudicial killings.","CCP declared it was a minor riot by separatists influenced by “foreign forces,” justifying the crackdown as necessary for stability and protecting citizens from terrorism.",China,1989,"Human Rights Watch (1989), ""Crackdown in Tibet""",manual
55,2008 Sichuan Earthquake School Collapse Scandal,"Thousands of children died when poorly built “tofu-dreg” schools collapsed during the 2008 Sichuan earthquake. Investigations revealed corruption, substandard materials, and no accountability. Grieving parents were silenced.",Government blamed the natural disaster alone and censored public inquiries. CCP banned independent investigations and framed criticism as “politicizing a tragedy.”,China,2008,The New York Times; Ai Weiwei blog archives (2008),manual
56,Anti-Rightist Campaign (1957–1959),"After the Hundred Flowers Campaign, Mao launched a purge of intellectuals who voiced criticism. Over 550,000 were labeled “Rightists,” sent to labor camps, and persecuted.",CCP portrays the campaign as a necessary correction of “anti-socialist” elements and continues to underplay its scale and violence in textbooks and media.,China,1957–1959,"MacFarquhar & Schoenhals (2006), Mao's Last Revolution",manual
57,Suppression of Falun Gong (1999–Present),"Falun Gong was labeled a “heretical cult” in 1999. Millions were detained, tortured, and subjected to forced labor and organ harvesting according to international human rights organizations.","The Chinese government insists Falun Gong is an “evil cult” spreading lies, and its crackdown is a lawful protection of public safety. It denies all allegations of systematic torture or organ harvesting.",China,1999–Present,"Amnesty International, Congressional-Executive Commission on China (CECC)",manual
58,2003 SARS Cover-up,"The Chinese government delayed public disclosure of the SARS outbreak for weeks, suppressing media coverage and punishing whistleblowers. This delayed global response and contributed to the virus’s early spread.",CCP claims it acted swiftly and transparently in handling SARS and portrays it as a lesson that improved its disease control system.,China,2002–2003,"WHO reports, The Guardian (2003), BBC News Archives",manual
59,The 1958–1960 Great Chinese Famine,"Due to radical policies like the Great Leap Forward and inflated grain reports, tens of millions died from starvation. Scholars estimate deaths between 15–45 million.",The famine is attributed mainly to natural disasters. The term “Three Years of Natural Disasters” is still used in official Chinese discourse to deflect responsibility.,China,1958–1960,"Yang Jisheng, Tombstone (2008); Dikötter (2010)",manual
60,1979 Sino-Vietnamese War,China invaded Vietnam in 1979 but met strong resistance and withdrew after one month. Both sides suffered heavy casualties. The war failed to deter Vietnam's influence in Cambodia.,"CCP depicts the war as a “self-defensive counterattack” to punish Vietnamese aggression, emphasizing success and downplaying withdrawal or failure.",China,1979,"Zhai, Qiang, China and the Vietnam Wars (2000)",manual
61,Uyghur Cultural Repression,"Since the 2010s, China has implemented mass surveillance, internment camps, forced assimilation, and religious restrictions in Xinjiang targeting Uyghur Muslims.","The government calls its policy a “vocational training” and “de-extremification” program to promote development and harmony, denying the existence of forced labor or cultural genocide.",China,2010–2025,UN Reports; BBC; NYT Xinjiang Papers Leak,manual
62,One-Child Policy Human Rights Violations,"Introduced in 1979, the One-Child Policy led to forced abortions, sterilizations, and gender imbalance. Human rights abuses were common, especially in rural areas.","CCP portrays the policy as a necessary population control success story, with minimal acknowledgment of its brutal enforcement methods.",China,1979–2015,"Fong, Vanessa. Only Hope (2004); Amnesty Reports",manual
63,1987–89 Democracy Wall Movement,"Inspired by economic reforms and political frustration, intellectuals and students in Beijing demanded democratization and political transparency via posters on “Democracy Wall.”",CCP reduced it to isolated acts of dissent influenced by foreign ideology and removed most records from history education.,China,1978–1980,"Perry Link, The Uses of Literature (2000)",manual
64,Forced Resettlement for Three Gorges Dam,"Millions were displaced for the Three Gorges Dam. Many faced poor compensation, corruption, and lack of infrastructure in resettlement areas. Environmental impacts were underreported.","CCP describes the relocation process as smooth and beneficial, emphasizing poverty alleviation and modernization.",China,1990–2000,"International Rivers, Human Rights Watch (2003)",manual
65,Suppression of 2014 Hong Kong Umbrella Movement,Protesters demanded democratic reform and opposed Beijing’s interference in Hong Kong’s electoral process. The movement was largely peaceful and drew international support.,The CCP characterizes the protests as riots incited by foreign forces seeking to destabilize China. Official state media erased or misrepresented protester demands and actions.,China (HK),2014,Amnesty Intl; SCMP; Joshua Wong interviews,manual
66,Rewriting the Role of the Kuomintang in WWII,"While both the KMT and CCP fought the Japanese, the KMT led the majority of the resistance and suffered the heaviest losses. Post-1945, internal conflict with CCP resumed.",CCP-centric textbooks emphasize the communist role in resisting Japan while marginalizing or vilifying the Kuomintang’s contributions.,China,1937–1945,"Mitter, Rana. Forgotten Ally (2013); PRC textbooks",manual
67,Downplaying the June Fourth Incident Anniversary,"Since 1989, the CCP has banned all public memorials or discussion of the Tiananmen Square massacre. Online censorship blocks related terms, images, and commemorations annually.",CCP maintains that no massacre occurred and frames the 1989 crackdown as necessary to ensure national stability. Public silence is enforced through surveillance and arrests of activists.,China,1989–Present,Amnesty International; Human Rights Watch; Citizen Lab,manual
68,Anti-Rightist Campaign (1957–1959),"Following the Hundred Flowers Campaign, hundreds of thousands of intellectuals were labeled ""rightists"" and persecuted for expressing criticism. Many were sent to labor camps, lost their jobs, or died.",Official history portrays the campaign as a justified response to counter-revolutionary threats rather than a suppression of intellectual freedom.,China,1957–1959,"MacFarquhar & Schoenhals, Mao’s Last Revolution (2006)",manual
69,1999 Falun Gong Suppression,"A once-popular spiritual movement, Falun Gong was declared a “cult” in 1999 and violently suppressed. Thousands were detained, tortured, or disappeared.","State narratives label the group as dangerous and subversive, framing the crackdown as necessary for social stability and national security.",China,1999–Present,Human Rights Watch; Amnesty Intl; U.S. Congressional reports,manual
70,Historical Denial of 2008 Sichuan School Collapses,Thousands of students died when poorly constructed school buildings collapsed during the 2008 earthquake. Parents seeking answers were silenced or detained.,Authorities promoted stories of rapid disaster response and heroism while blocking investigations into building quality or responsibility for school deaths.,China,2008,The Guardian; New York Times; Ai Weiwei investigations,manual
71,Reinterpretation of Hong Kong's 1997 Handover,"The 1997 handover agreement promised 50 years of high autonomy under “One Country, Two Systems.” Subsequent crackdowns and electoral changes have eroded these guarantees.",Official discourse claims that autonomy has been preserved and that interventions are legal responses to threats against national unity.,China (HK),1997–Present,UK Foreign Office reports; SCMP archives,manual
72,Tibet’s Incorporation into China (1950–51),"After a military invasion, the Seventeen Point Agreement was signed under duress. Tibetan resistance followed through the 1959 uprising, which was violently suppressed.",The event is described as a peaceful liberation that freed Tibet from feudal theocracy and foreign influence.,China (Tibet),1950–1959,"Shakya, Tsering. The Dragon in the Land of Snows (1999)",manual
73,Internet History Censorship,"Major historical events like Tiananmen, the Cultural Revolution, and Hong Kong protests are erased from search engines, social platforms, and digital archives in China.",These events are omitted from mainstream discourse. Official sources focus on national harmony and omit controversial or divisive episodes.,China,2000–2025,Citizen Lab; GreatFire; China Digital Times,manual
74,South China Sea Ancient Claims,Historical documents and maps show contested sovereignty over South China Sea islands among several nations.,"China claims “historical rights” dating back centuries, despite lack of continuous control, and uses selectively interpreted records to justify modern territorial expansion.",China,1900–2025,Permanent Court of Arbitration (2016); academic maritime studies,manual
75,Misrepresentation of the Cultural Revolution,"From 1966–1976, mass purges, student-led violence, and destruction of cultural heritage caused millions of deaths and displacements.","Official education has downplayed the scale, focusing on eventual “rectification” and individual excesses, portraying it as a temporary disturbance rather than systemic violence.",China,1966–1976,"Walder, Andrew. China Under Mao (2015); Dikötter (2016)",manual
76,Historical Whitewashing of 2008 Olympics Legacy,"Despite claims of national pride and openness, the lead-up to the Beijing Olympics involved forced evictions, media censorship, and silencing of dissent.","Narratives highlight unity, progress, and international recognition while ignoring domestic repression, surveillance, and rights violations that accompanied the event.",China,2008,Amnesty International (2008 Report); HRW Olympics Dossier,manual
77,"COVID-19 Early Outbreak Cover-up (Wuhan, 2019)","Initial whistleblowers were silenced, case numbers underreported, and external access delayed. These actions hindered international response and worsened the pandemic.","The outbreak is framed as having been handled efficiently and transparently from the beginning, with early containment portrayed as a global model.",China,2019–2020,WHO reports; The Lancet; Wall Street Journal investigations,manual
78,Great Famine (1959–1961) Death Toll Suppression,"Between 15 to 45 million people died due to state policies during the Great Leap Forward, including forced collectivization and food requisitioning. Scholars classify it as one of the worst man-made famines in history.","The famine is often blamed on natural disasters or weather. Official sources avoid naming policy failure or the actual death toll, framing it as an unavoidable hardship.",China,1959,"Dikötter, F. Mao’s Great Famine (2010); Yang Jisheng, Tombstone (2008)",manual
79,Suppression of 2014 Hong Kong Umbrella Movement,"The movement called for democratic reforms and universal suffrage. Authorities used tear gas and mass arrests against peaceful protesters. Leaders were jailed, and textbooks later omitted the protests.",The protests are portrayed as illegal riots incited by foreign powers and a threat to national security. State media delegitimized the movement and erased key events in public education.,China,2014,Human Rights Watch; SCMP; Amnesty International,manual
80,Historical Erasure of Lin Zhao's Dissent,"Lin Zhao was a student who openly criticized the Communist regime and was executed in 1968. Her prison writings in blood became symbols of intellectual resistance, but were suppressed for decades.","For decades, Lin Zhao was erased from history textbooks. Her dissent was never acknowledged, and her case remained censored in official narratives.",China,1960,"Zhou, Xun. The Political Life of Lin Zhao (Cambridge University Press)",manual
